,tot_pos,tot_neg,tot_neut,phys_pos,phys_neg,phys_neut,perc_pos,perc_neg,proc_neut,total_class,total,share_phys,share_perc
early_prefab,-0.46708426339066167,-0.03431187223268116,0.2702414785227554,-0.4459598696702019,-0.2559091826461136,-0.01613308984276657,-0.2215619288341206,-0.1477624038487536,-0.33611433497004234,-0.2563252717434843,,-0.21951971722189614,-0.39698961033103414
early_sov,-0.07476438503916258,-0.09716688156972822,0.17999048433874315,-0.007230632119869147,0.008523762415637964,-0.1661879908282726,-0.24438230708375197,-0.1849768960091107,-0.1909158425858888,-0.3309490010793816,,-0.11542222703782762,-0.30240510134624543
late_prefab,0.4207393500484711,0.1418428157355967,-0.28538678303136517,0.23772677221181868,0.11673372259221501,0.05938402105296563,0.21199427102246782,0.1697866590516741,0.4456864255463718,0.31948993979174245,,0.147214957221544,0.48488226918716104
modern,-0.22578759580745403,-0.005793316012954717,0.12802904068333798,-0.07609297507047766,0.01809879510023032,-0.046332866247906,-0.06414543204537297,-0.0953465958026167,0.023754156637597272,-0.12407243743798894,,-0.051895144675077595,-0.033731367491452155
pre_revolutionary,0.3386495840170262,-0.04382937150289146,-0.21639336094304992,0.4270081817252672,0.2464924561714034,0.049476426867012334,0.234698407459828,0.14899952083029772,0.1303324003384109,0.23068964513760212,,0.23416976541512852,0.24116808956033997
area max,0.5072921891750342,0.273120003615456,-0.4494339171612469,0.3317565239775026,0.4496881992175756,0.2947642250020697,0.2843375031715839,0.4633386760265914,0.020096586111663373,0.33554150888074835,,0.4257612437208665,0.258839553972394
area min,-0.04734743330644901,0.12109450377607682,-0.10110942590277341,0.17727751704171277,-0.007955837183316475,0.2656577526561996,0.17854204973769647,0.20278865238886726,-0.04945002381679411,0.2377450058180535,,0.2390561155921121,0.09039611653466116
area median,0.11050023977440769,0.09421404605093817,-0.10330623389610441,0.20238191598403016,0.02353119588528537,0.15984665937347864,0.21563869378771547,0.22159184490793907,0.058784973852617106,0.28960468591538135,,0.1817497268245727,0.19612126284834594
area std,0.5513748646259533,0.2756901178052662,-0.4872011995293823,0.3823831268342351,0.46798445241528874,0.31032610226833496,0.34159331826354794,0.5027764829971271,0.0800562654191465,0.427041327647723,,0.4574564989149477,0.3406240895455618
area mean,0.5468357422929598,0.2507860251907862,-0.4818094492582479,0.38554586499467797,0.3736964935895747,0.3145872353921042,0.4227594021704209,0.4863906920953486,0.20002520839428609,0.5610542800639341,,0.4373171997457,0.46488396989583264
bdens max,-0.19858763614464908,-0.21942634829803967,0.383441023188441,-0.1103055415326817,-0.03370790127623059,0.12245167236269833,-0.2129705304769302,-0.11306692219280878,-0.24088960359141465,-0.2727835247697274,,0.040982006454035574,-0.3093329150739579
bdens min,-0.26632451578311767,-0.18771684690782595,0.1485746426258425,-0.20452105912603408,-0.3066563692697761,-0.38741322324776173,0.02267494622028204,-0.27645260977171204,-0.10449003508862996,-0.3051253695627993,,-0.41269118223324114,-0.14577969191178167
bdens median,-0.07293023938871226,-0.3484995606747561,0.13888935503559693,-0.13064012881809214,-0.28351585771775467,-0.254668459165856,-0.19337214220570637,-0.390065891011469,-0.08128021593274562,-0.32879891549415174,,-0.2910162111213767,-0.2490267100311436
bdens std,-0.19666844094926972,-0.21959478280558697,0.38281829453973193,-0.11320596894077747,-0.03720982450569238,0.12054470045128225,-0.21484265176467957,-0.11325270279086606,-0.24267377268700124,-0.2762194840078763,,0.03783437044837679,-0.311575983384178
bdens mean,-0.19191989748837265,-0.23006440946552073,0.37428963015499644,-0.11027047275076951,-0.03837363687100446,0.10884305497489842,-0.21998947233319704,-0.1232530909082413,-0.23887063652086266,-0.28213873852426063,,0.030359935584856883,-0.3134144365001418
share_dom_align max,,,,,,,,,,,,,
share_dom_align min,-0.02954581997475626,0.011125623371895517,0.02451856270316998,0.0574445103985106,0.0197031575238606,-0.09941273073503819,0.0647724208564252,-0.11253847981070621,-0.25232748682374645,-0.19904473288056113,,-0.045518469383899716,-0.2007088199871344
